name,sku,barcode,category,sales_price,product_cost,stock,warning_limit,unit,featured,unlimited,image
Bani Strowberry,ID367,,,"18,800",0,0,0,,no,yes,
Bani Ungu,ID368,,,"18,800",0,0,0,,no,yes,
Bapel,ID369,,,"8,500",0,0,0,,no,yes,
Barik Lana Gelas,ID370,,,"12,500",0,0,0,,no,yes,
Barista,ID371,,,900,0,0,0,,no,yes,
Baskara,ID372,,,1,0,0,0,,no,yes,
Basreng 1 pk,ID373,,,"10,000",0,0,0,,no,yes,
Basreng 5000,ID374,,,"4,000",0,0,0,,no,yes,
batavia 600 Eceran,ID375,,,"1,000",0,0,0,,no,yes,
Batavia 600 Ml,ID376,,,"24,000",0,0,0,,no,yes,
batavie gelas ,ID377,,,"15,000",0,0,0,,no,yes,
batrai ABC,ID378,,,"1,917",0,0,0,,no,yes,
Batrai ABC Besar,ID379,,,"10,000",0,0,0,,no,yes,
Batrai ABC T,ID380,,,"5,500",0,0,0,,no,yes,
Batrai Alkaline kecil 10000,ID381,,,"8,500",0,0,0,,no,yes,
Batrai Alkaline T,ID382,,,"12,500",0,0,0,,no,yes,
Batrai remot,ID383,,,"2,250",0,0,0,,no,yes,
Batrai Remot,ID384,,,"4,500",0,0,0,,no,yes,
Bawang Goreng 2000,ID385,,,"1,500",0,0,0,,no,yes,
Bawang Goreng 5000,ID386,,,"4,000",0,0,0,,no,yes,
Bwang Putih 1/2,ID387,,,"18,000",0,0,0,,no,yes,
Bwang Putih 1/4,ID388,,,"8,000",0,0,0,,no,yes,
Bawang Putih 1 Kl,ID389,,,"35,000",0,0,0,,no,yes,
Bawang Putih 1 on,ID390,,,"3,800",0,0,0,,no,yes,
Bawang Putih 2000,ID391,,,"1,500",0,0,0,,no,yes,
Bawang Putih Bubuk,ID392,,,833,0,0,0,,no,yes,
Baygon 200 ml,ID393,,,"14,500",0,0,0,,no,yes,
baygon 600 ml,ID394,,,"42,000",0,0,0,,no,yes,
Baygon Bakar,ID395,,,"4,000",0,0,0,,no,yes,
BB Harum Sari,ID396,,,"1,800",0,0,0,,no,yes,
